status,latency
000,0.006405
000,0.004342
000,0.004391
000,0.004386
000,0.004307
000,0.004939
000,0.004280
000,0.004332
000,0.004304
000,0.004950
000,0.005002
000,0.006046
000,0.004305
000,0.004295
000,0.004272
000,0.004281
000,0.004276
000,0.004247
000,0.004241
000,0.004346
000,0.004363
000,0.004341
000,0.005601
000,0.004559
000,0.004385
000,0.004342
000,0.005672
000,0.006508
000,0.004368
000,0.004302
000,0.004341
000,0.004329
000,0.005045
000,0.004291
000,0.004333
000,0.005282
000,0.004333
000,0.004337
000,0.004339
000,0.004274
000,0.004357
000,0.005688
000,0.004284
000,0.004316
000,0.004314
000,0.004270
000,0.004348
000,0.004277
000,0.004397
000,0.004357
000,0.004339
000,0.004349
000,0.004347
000,0.005673
000,0.004324
000,0.004355
000,0.004310
000,0.004276
000,0.004290
000,0.006376
000,0.004308
000,0.005179
000,0.004270
000,0.004310
000,0.004329
000,0.004258
000,0.004301
000,0.004289
000,0.004289
000,0.005229
000,0.004293
000,0.004333
000,0.004300
000,0.004364
000,0.004372
000,0.005566
000,0.004629
000,0.004317
000,0.004293
000,0.004872
000,0.004249
000,0.004319
000,0.004307
000,0.004262
000,0.004336
000,0.004334
000,0.004298
000,0.004300
000,0.004470
000,0.004343
000,0.004306
000,0.004272
000,0.004364
000,0.004307
000,0.004355
000,0.004348
000,0.004391
000,0.004400
000,0.004277
000,0.004307
000,0.006272
000,0.004340
000,0.004400
000,0.005138
000,0.004278
000,0.004319
000,0.004383
000,0.004302
000,0.004308
000,0.004343
000,0.004346
000,0.004316
000,0.004266
000,0.004368
000,0.004341
000,0.004348
000,0.004341
000,0.005104
000,0.004906
000,0.004324
000,0.004289
000,0.004508
000,0.004385
000,0.004331
000,0.005432
000,0.004289
000,0.004361
000,0.004324
000,0.004314
000,0.004275
000,0.004329
000,0.004305
000,0.004278
000,0.004343
000,0.005225
000,0.004244
000,0.004363
000,0.004277
000,0.004318
000,0.004287
000,0.004249
000,0.004322
000,0.004284
000,0.004406
000,0.004250
000,0.004248
000,0.004254
000,0.004288
000,0.004258
000,0.004246
000,0.004293
000,0.004304
000,0.004260
000,0.004794
000,0.004306
000,0.004294
000,0.004289
000,0.005126
000,0.004276
000,0.004279
000,0.007394
000,0.004253
000,0.004261
000,0.004371
000,0.004319
000,0.004329
000,0.004646
000,0.004318
000,0.004312
000,0.004310
000,0.004330
000,0.004364
000,0.004376
000,0.004373
000,0.004333
000,0.004756
000,0.005517
000,0.004305
000,0.004384
000,0.004383
000,0.004349
000,0.004312
000,0.004408
000,0.004307
000,0.004300
000,0.004285
000,0.004282
000,0.004271
000,0.004434
000,0.004248
000,0.004464
000,0.004259
000,0.005995
000,0.004286
000,0.004311
000,0.004317
000,0.004327
000,0.004348
000,0.004289
000,0.004288
000,0.004344
000,0.004380
000,0.004383
000,0.004352
000,0.004367
000,0.004337
000,0.004375
000,0.004311
000,0.004316
000,0.004298
000,0.004298
000,0.004312
000,0.004264
000,0.006063
000,0.006096
000,0.004317
000,0.004374
000,0.005092
000,0.005477
000,0.004354
000,0.004270
000,0.004541
000,0.004920
000,0.004362
000,0.004264
000,0.004752
000,0.004403
000,0.004491
000,0.004249
000,0.004288
000,0.004323
000,0.004336
000,0.004341
000,0.004269
000,0.004358
000,0.004310
000,0.004316
000,0.004295
000,0.004282
000,0.004285
000,0.004252
000,0.004243
000,0.004257
000,0.005030
000,0.004270
000,0.004302
000,0.004329
000,0.004257
000,0.004273
000,0.004441
000,0.004270
000,0.004294
000,0.004304
000,0.004274
000,0.004943
000,0.004310
000,0.004383
000,0.004332
000,0.004294
000,0.004374
000,0.004281
000,0.004294
000,0.004316
000,0.004382
000,0.004332
000,0.004333
000,0.004263
000,0.004268
000,0.004280
000,0.004432
000,0.005706
000,0.004369
000,0.004363
000,0.004242
000,0.004754
000,0.004271
000,0.005068
000,0.004732
000,0.004267
000,0.004372
000,0.004327
000,0.004322
000,0.004276
000,0.004282
000,0.006667
000,0.004286
000,0.004247
000,0.004273
000,0.004310
000,0.004367
000,0.004355
000,0.004367
000,0.004235
000,0.004308
000,0.004310
000,0.004334
000,0.004300
000,0.005044
000,0.004583
000,0.004453
000,0.004387
000,0.004316
000,0.004297
000,0.004318
000,0.004289
000,0.004303
000,0.004328
000,0.005045
000,0.004264
000,0.004635
000,0.004338
000,0.004335
000,0.004370
000,0.004367
000,0.004337
000,0.004288
000,0.004963
000,0.004249
000,0.004823
000,0.004251
000,0.004306
000,0.004301
000,0.004291
000,0.004322
000,0.004305
000,0.004335
000,0.004241
000,0.006187
000,0.004265
000,0.004258
000,0.004239
000,0.004284
000,0.004338
000,0.004876
000,0.004305
000,0.004363
000,0.004256
000,0.004693
000,0.004493
000,0.004499
000,0.004274
000,0.004284
000,0.005605
000,0.004308
000,0.004304
000,0.004304
000,0.004339
000,0.004267
000,0.004343
000,0.004292
000,0.004212
000,0.004286
000,0.004243
000,0.004539
000,0.004252
000,0.004280
000,0.004322
000,0.004345
000,0.006361
000,0.004287
000,0.007161
000,0.004329
000,0.004936
000,0.004352
000,0.004335
000,0.004281
000,0.004267
000,0.004793
000,0.004266
000,0.004313
000,0.004410
000,0.004521
000,0.006100
000,0.005686
000,0.004329
000,0.004856
000,0.004346
000,0.004311
000,0.005598
000,0.004306
000,0.004346
000,0.004446
000,0.004314
000,0.004874
000,0.004318
000,0.004823
000,0.004626
000,0.005433
000,0.004362
000,0.004273
000,0.004935
000,0.004319
000,0.004336
000,0.004328
000,0.004321
000,0.004712
000,0.004354
000,0.004599
000,0.004357
000,0.005351
000,0.004351
000,0.004387
000,0.004313
000,0.004384
000,0.004315
000,0.004343
000,0.004319
000,0.006980
000,0.004350
000,0.004325
000,0.004492
000,0.004421
000,0.004300
000,0.004312
000,0.004352
000,0.004335
000,0.004291
000,0.004367
000,0.004333
000,0.004273
000,0.004313
000,0.004624
000,0.004294
000,0.004266
000,0.004249
000,0.004320
000,0.004304
000,0.004272
000,0.004255
000,0.004284
000,0.024888
000,0.004271
000,0.004238
000,0.004251
000,0.004246
000,0.004275
000,0.004291
000,0.004284
000,0.004836
000,0.004241
000,0.004237
000,0.004197
000,0.004232
000,0.004226
000,0.005465
000,0.004582
000,0.004255
000,0.004387
000,0.004312
000,0.004572
000,0.004313
000,0.004225
000,0.004422
000,0.004308
000,0.005281
000,0.004432
000,0.004325
000,0.004347
000,0.004274
000,0.004328
000,0.004252
000,0.004269
000,0.004282
000,0.004286
000,0.004246
000,0.004242
000,0.006443
000,0.004287
000,0.004274
000,0.004291
000,0.004234
000,0.004260
000,0.004261
000,0.004286
000,0.004278
000,0.005553
000,0.004264
000,0.004277
000,0.004333
000,0.004281
000,0.004244
000,0.004571
000,0.005772
000,0.004304
000,0.004216
000,0.004251
000,0.004229
000,0.004261
000,0.004324
000,0.004325
000,0.004292
000,0.004370
000,0.004633
000,0.005799
000,0.004247
000,0.005505
000,0.004398
000,0.004908
000,0.004322
000,0.004350
000,0.004317
000,0.004306
000,0.004299
000,0.004258
000,0.004350
000,0.004313
000,0.004770
000,0.004351
000,0.004266
000,0.004292
000,0.004271
000,0.004341
000,0.004307
000,0.004241
000,0.006177
000,0.004293
000,0.004295
000,0.004326
000,0.004343
000,0.004283
000,0.004293
000,0.004902
000,0.004273
000,0.004358
000,0.004298
000,0.004264
000,0.004291
000,0.004278
000,0.004269
000,0.004337
000,0.004322
000,0.004291
000,0.004287
000,0.006227
000,0.006386
000,0.005004
000,0.004323
000,0.004341
000,0.004311
000,0.004339
000,0.007465
000,0.004819
000,0.004330
000,0.004331
000,0.004298
000,0.004284
000,0.004231
000,0.004252
000,0.004309
000,0.004299
000,0.004874
000,0.004302
000,0.004360
000,0.004304
000,0.004363
000,0.004346
000,0.004369
000,0.004388
000,0.004422
000,0.004364
000,0.004314
000,0.004315
000,0.004365
000,0.004423
000,0.005301
000,0.004260
000,0.008011
000,0.004281
000,0.004275
000,0.004863
000,0.004356
000,0.004342
000,0.004325
000,0.004287
000,0.004266
000,0.004327
000,0.004342
000,0.004305
000,0.004308
000,0.004313
000,0.004253
000,0.004292
000,0.004924
000,0.004718
000,0.004415
000,0.004351
000,0.004331
000,0.004301
000,0.004311
000,0.004293
000,0.004311
000,0.004534
000,0.005051
000,0.004631
000,0.005243
000,0.004292
000,0.004295
000,0.004743
000,0.004311
000,0.004298
000,0.005252
000,0.004276
000,0.004916
000,0.004292
000,0.004310
000,0.004308
000,0.004263
000,0.004308
000,0.004712
000,0.004320
000,0.004333
000,0.004528
000,0.004308
000,0.004351
000,0.004719
000,0.004357
000,0.004285
000,0.004356
000,0.004392
000,0.004319
000,0.004317
000,0.004292
000,0.004258
000,0.004238
000,0.004276
000,0.004302
000,0.004265
000,0.004279
000,0.004281
000,0.004246
000,0.004398
000,0.004338
000,0.004343
000,0.004346
000,0.004275
000,0.004250
000,0.004258
000,0.004295
000,0.004229
000,0.004266
000,0.004252
000,0.004279
000,0.004428
000,0.004233
000,0.004284
000,0.005340
000,0.004315
000,0.004287
000,0.004217
000,0.005143
000,0.004337
000,0.004324
000,0.004336
000,0.004303
000,0.004323
000,0.005389
000,0.004332
000,0.004263
000,0.004272
000,0.004219
000,0.004239
000,0.004277
000,0.004246
000,0.004252
000,0.004268
000,0.006806
000,0.004377
000,0.004315
000,0.004268
000,0.004346
000,0.004342
000,0.004339
000,0.004337
000,0.004311
000,0.004756
000,0.004283
000,0.004378
000,0.004372
000,0.008351
000,0.004439
000,0.004389
000,0.004344
000,0.004909
000,0.004440
000,0.004340
000,0.004322
000,0.004366
000,0.004362
000,0.004345
000,0.004247
000,0.004245
000,0.004397
000,0.004337
000,0.004506
000,0.004307
000,0.005139
000,0.004328
000,0.004305
000,0.004337
000,0.004351
000,0.004299
000,0.004297
000,0.005139
000,0.004301
000,0.004315
000,0.004246
000,0.004324
000,0.004354
000,0.004293
000,0.004629
000,0.004295
000,0.004325
000,0.004373
000,0.004309
000,0.004536
000,0.004376
000,0.004275
000,0.004363
000,0.004348
000,0.004358
000,0.004331
000,0.004957
000,0.004318
000,0.004341
000,0.004313
000,0.004341
000,0.004302
000,0.004348
000,0.004349
000,0.004820
000,0.004344
000,0.004344
000,0.004357
000,0.004384
000,0.004343
000,0.004297
000,0.004363
000,0.004360
000,0.004423
000,0.005357
000,0.004312
000,0.004312
000,0.004396
000,0.004319
000,0.004359
000,0.004290
000,0.005344
000,0.004387
000,0.004311
000,0.004304
000,0.004341
000,0.004333
000,0.004272
000,0.004291
000,0.004416
000,0.004313
000,0.004324
000,0.004354
000,0.004319
000,0.004400
000,0.004357
000,0.004377
000,0.004284
000,0.004339
000,0.004261
000,0.004333
000,0.004766
000,0.004253
000,0.004296
000,0.004291
000,0.004561
000,0.005334
000,0.004331
000,0.004349
000,0.004255
000,0.004283
000,0.004409
000,0.005453
000,0.004328
000,0.004298
000,0.004260
000,0.005585
000,0.004243
000,0.004271
000,0.005051
000,0.004237
000,0.004281
000,0.004243
000,0.004247
000,0.004289
000,0.004243
000,0.004288
000,0.006019
000,0.004279
000,0.004355
000,0.004266
000,0.004310
000,0.004599
000,0.004516
000,0.004266
000,0.004272
000,0.004327
000,0.004308
000,0.004367
000,0.004404
000,0.004328
000,0.004276
000,0.004354
000,0.004355
000,0.004828
000,0.004283
000,0.004340
000,0.004309
000,0.004409
000,0.004365
000,0.004312
000,0.004262
000,0.004314
000,0.004249
000,0.004289
000,0.004240
000,0.004268
000,0.004286
000,0.004274
000,0.004308
000,0.004396
000,0.004320
000,0.004353
000,0.005733
000,0.004321
000,0.004496
000,0.004313
000,0.004417
000,0.004330
000,0.004355
000,0.004277
000,0.004605
000,0.004268
000,0.004354
000,0.004396
000,0.004245
000,0.004323
000,0.004310
000,0.004259
000,0.004242
000,0.004249
000,0.004299
000,0.004329
000,0.004298
000,0.004302
000,0.004286
000,0.004359
000,0.004293
000,0.004390
000,0.004436
000,0.004321
000,0.004294
000,0.004310
000,0.004300
000,0.004250
000,0.004259
000,0.004295
000,0.004291
000,0.004295
000,0.004363
000,0.004702
000,0.004242
000,0.004307
000,0.004360
000,0.004309
000,0.005349
000,0.004277
000,0.005052
000,0.004313
000,0.004374
000,0.004358
000,0.004359
000,0.004313
000,0.004322
000,0.004465
000,0.004354
000,0.004294
000,0.004324
000,0.004361
000,0.004358
000,0.004547
000,0.004287
000,0.004336
000,0.004419
000,0.004332
000,0.004319
000,0.004425
000,0.004330
000,0.005829
000,0.004333
000,0.004311
000,0.004342
000,0.004309
000,0.005548
000,0.004352
000,0.004369
000,0.004794
000,0.004308
000,0.004458
000,0.004391
000,0.004321
000,0.005506
000,0.004363
000,0.004290
000,0.004341
