id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i154-f2,true,false,true,8999.999663,2610.314274,7392.011242,4781.696968,0.353126,1607.988758
i159-f7,true,false,true,8999.980979,274.819439,974.114237,699.294798,0.282122,8025.885763
i155-f3,true,false,true,8997.544644,2570.115636,7024.277299,4454.161663,0.365890,1975.722701
i160-f0,true,false,true,8551.915837,32.593322,421.087856,388.494534,0.077403,8430.827981
i158-f6,true,false,true,8025.885763,209.148493,885.501274,676.352781,0.236192,7440.384489
i157-f5,true,false,true,7441.248798,403.738450,1502.696150,1098.957700,0.268676,6238.552648
i153-f1,true,false,true,6243.194955,2097.821488,6540.228955,4442.407467,0.320757,2.966000
i156-f4,true,false,true,4175.299561,104.726820,585.533518,480.806698,0.178857,3889.766043
i150-f6,true,false,true,2199.533818,816.084358,2496.637818,1680.553460,0.326873,2.896000
i149-f5,true,false,true,1607.987657,547.025649,1905.103657,1358.078008,0.287137,2.884000
i152-f0,true,false,true,115.846796,44.186609,412.899796,368.713187,0.107015,2.947000
i147-f3,true,false,true,5.874681,3.033681,303.033681,300.000000,0.010011,2.841000
i148-f4,true,false,true,5.858297,2.983782,302.997297,300.013515,0.009848,2.861000
i151-f7,true,false,true,5.840887,2.924887,302.924887,300.000000,0.009655,2.916000
i144-f0,true,false,true,5.839771,3.053984,303.054771,300.000787,0.010077,2.785000
i146-f2,true,false,true,5.808907,2.982715,302.988907,300.006192,0.009844,2.820000
i145-f1,true,false,true,5.771716,2.967716,302.967716,300.000000,0.009795,2.804000
i140-f4,true,false,true,5.771009,3.028900,303.080009,300.051109,0.009994,2.691000
i142-f6,true,false,true,5.749752,3.006779,303.018752,300.011973,0.009923,2.731000
i143-f7,true,false,true,5.711270,2.949157,302.952270,300.003113,0.009735,2.759000
i139-f3,true,false,true,5.706681,3.033681,303.033681,300.000000,0.010011,2.673000
i141-f5,true,false,true,5.682372,2.968372,302.968372,300.000000,0.009798,2.714000
i135-f7,true,false,true,5.649224,3.010611,303.047224,300.036613,0.009934,2.602000
i136-f0,true,false,true,5.649213,3.030213,303.030213,300.000000,0.010000,2.619000
i137-f1,true,false,true,5.628105,2.986821,302.992105,300.005284,0.009858,2.636000
i134-f6,true,false,true,5.600752,3.006779,303.010752,300.003973,0.009923,2.590000
i138-f2,true,false,true,5.599739,2.944739,302.944739,300.000000,0.009720,2.655000
i131-f3,true,false,true,5.571681,3.033681,303.033681,300.000000,0.010011,2.538000
i129-f1,true,false,true,5.564837,3.035131,303.063837,300.028706,0.010015,2.501000
i133-f5,true,false,true,5.545372,2.968372,302.968372,300.000000,0.009798,2.577000
i132-f4,true,false,true,5.515485,2.962485,302.962485,300.000000,0.009778,2.553000
i128-f0,true,false,true,5.512213,3.030213,303.030213,300.000000,0.010000,2.482000
i126-f6,true,false,true,5.479497,3.029276,303.038497,300.009221,0.009996,2.441000
i130-f2,true,false,true,5.464739,2.944739,302.944739,300.000000,0.009720,2.520000
i123-f3,true,false,true,5.432233,3.054914,303.055233,300.000319,0.010080,2.377000
i121-f1,true,false,true,5.420826,3.055957,303.084826,300.028869,0.010083,2.336000
i125-f5,true,false,true,5.385372,2.968372,302.968372,300.000000,0.009798,2.417000
i127-f7,true,false,true,5.382887,2.924887,302.924887,300.000000,0.009655,2.458000
i120-f0,true,false,true,5.375771,3.053984,303.062771,300.008787,0.010077,2.313000
i124-f4,true,false,true,5.359485,2.962485,302.962485,300.000000,0.009778,2.397000
i115-f3,true,false,true,5.321508,3.080422,303.094508,300.014086,0.010163,2.227000
i122-f2,true,false,true,5.299739,2.944739,302.944739,300.000000,0.009720,2.355000
i117-f5,true,false,true,5.279297,3.020306,303.026297,300.005991,0.009967,2.253000
i118-f6,true,false,true,5.259027,2.982027,302.982027,300.000000,0.009842,2.277000
i119-f7,true,false,true,5.218887,2.924887,302.924887,300.000000,0.009655,2.294000
i110-f6,true,false,true,5.217809,3.051085,303.067809,300.016724,0.010067,2.150000
i112-f0,true,false,true,5.207213,3.030213,303.030213,300.000000,0.010000,2.177000
i113-f1,true,false,true,5.206105,2.986821,303.021105,300.034284,0.009857,2.185000
i116-f4,true,false,true,5.204485,2.962485,302.962485,300.000000,0.009778,2.242000
i114-f2,true,false,true,5.147739,2.944739,302.944739,300.000000,0.009720,2.203000
i104-f0,true,false,true,5.138851,3.098334,303.115851,300.017517,0.010222,2.023000
i109-f5,true,false,true,5.123637,2.993009,302.994637,300.001628,0.009878,2.129000
i107-f3,true,false,true,5.119681,3.033681,303.033681,300.000000,0.010011,2.086000
i108-f4,true,false,true,5.096297,2.983782,302.991297,300.007515,0.009848,2.105000
i111-f7,true,false,true,5.091887,2.924887,302.924887,300.000000,0.009655,2.167000
i102-f6,true,false,true,5.060497,3.029276,303.074497,300.045221,0.009995,1.986000
i105-f1,true,false,true,5.040105,2.986821,302.993105,300.006284,0.009858,2.047000
i106-f2,true,false,true,5.013739,2.944739,302.944739,300.000000,0.009720,2.069000
i99-f3,true,false,true,5.007508,3.080422,303.090508,300.010086,0.010163,1.917000
i103-f7,true,false,true,4.965270,2.949157,302.960270,300.011113,0.009734,2.005000
i96-f0,true,false,true,4.941499,3.077483,303.084499,300.007016,0.010154,1.857000
i101-f5,true,false,true,4.927372,2.968372,302.968372,300.000000,0.009798,1.959000
i100-f4,true,false,true,4.922297,2.983782,302.986297,300.002515,0.009848,1.936000
i91-f3,true,false,true,4.885661,3.100083,303.132661,300.032578,0.010227,1.753000
i97-f1,true,false,true,4.867105,2.986821,302.989105,300.002284,0.009858,1.878000
i92-f4,true,false,true,4.838009,3.028900,303.066009,300.037109,0.009994,1.772000
i98-f2,true,false,true,4.837739,2.944739,302.944739,300.000000,0.009720,1.893000
i94-f6,true,false,true,4.793027,2.982027,302.982027,300.000000,0.009842,1.811000
i93-f5,true,false,true,4.783637,2.993009,302.996637,300.003628,0.009878,1.787000
i95-f7,true,false,true,4.761887,2.924887,302.924887,300.000000,0.009655,1.837000
i89-f1,true,false,true,4.747473,3.014294,303.026473,300.012179,0.009947,1.721000
i83-f3,true,false,true,4.725661,3.100083,303.128661,300.028578,0.010227,1.597000
i88-f0,true,false,true,4.725213,3.030213,303.030213,300.000000,0.010000,1.695000
i90-f2,true,false,true,4.682739,2.944739,302.944739,300.000000,0.009720,1.738000
i84-f4,true,false,true,4.679206,3.051106,303.064206,300.013100,0.010068,1.615000
i86-f6,true,false,true,4.647027,2.982027,302.982027,300.000000,0.009842,1.665000
i87-f7,true,false,true,4.611887,2.924887,302.924887,300.000000,0.009655,1.687000
i85-f5,true,false,true,4.611372,2.968372,302.968372,300.000000,0.009798,1.643000
i80-f0,true,false,true,4.586213,3.030213,303.030213,300.000000,0.010000,1.556000
i81-f1,true,false,true,4.582105,2.986821,303.011105,300.024284,0.009857,1.571000
i79-f7,true,false,true,4.573224,3.010611,303.034224,300.023613,0.009935,1.539000
i78-f6,true,false,true,4.530752,3.006779,303.010752,300.003973,0.009923,1.520000
i82-f2,true,false,true,4.525739,2.944739,302.944739,300.000000,0.009720,1.581000
i75-f3,true,false,true,4.493681,3.033681,303.033681,300.000000,0.010011,1.460000
i77-f5,true,false,true,4.469372,2.968372,302.968372,300.000000,0.009798,1.501000
i76-f4,true,false,true,4.467297,2.983782,302.984297,300.000515,0.009848,1.483000
i68-f4,true,false,true,4.453734,3.073840,303.133734,300.059894,0.010140,1.320000
i72-f0,true,false,true,4.426213,3.030213,303.030213,300.000000,0.010000,1.396000
i74-f2,true,false,true,4.408069,2.963808,302.970069,300.006261,0.009783,1.438000
i67-f3,true,false,true,4.392508,3.080422,303.092508,300.012086,0.010163,1.300000
i73-f1,true,false,true,4.380716,2.967716,302.967716,300.000000,0.009795,1.413000
i70-f6,true,false,true,4.343027,2.982027,302.982027,300.000000,0.009842,1.361000
i69-f5,true,false,true,4.313372,2.968372,302.968372,300.000000,0.009798,1.345000
i71-f7,true,false,true,4.303887,2.924887,302.924887,300.000000,0.009655,1.379000
i64-f0,true,false,true,4.303771,3.053984,303.068771,300.014787,0.010077,1.235000
i65-f1,true,false,true,4.281473,3.014294,303.022473,300.008179,0.009947,1.259000
i62-f6,true,false,true,4.233497,3.029276,303.037497,300.008221,0.009996,1.196000
i57-f1,true,false,true,4.217612,3.075569,303.112612,300.037043,0.010147,1.105000
i66-f2,true,false,true,4.216739,2.944739,302.944739,300.000000,0.009720,1.272000
i59-f3,true,false,true,4.169681,3.033681,303.033681,300.000000,0.010011,1.136000
i61-f5,true,false,true,4.146372,2.968372,302.968372,300.000000,0.009798,1.178000
i60-f4,true,false,true,4.143297,2.983782,302.984297,300.000515,0.009848,1.159000
i63-f7,true,false,true,4.138887,2.924887,302.924887,300.000000,0.009655,1.214000
i56-f0,true,false,true,4.118213,3.030213,303.030213,300.000000,0.010000,1.088000
i45-f5,true,false,true,4.071083,3.145087,303.178083,300.032996,0.010374,0.893000
i58-f2,true,false,true,4.070739,2.944739,302.944739,300.000000,0.009720,1.126000
i53-f5,true,false,true,4.059297,3.020306,303.030297,300.009991,0.009967,1.029000
i54-f6,true,false,true,4.037027,2.982027,302.982027,300.000000,0.009842,1.055000
i51-f3,true,false,true,4.017681,3.033681,303.033681,300.000000,0.010011,0.984000
i55-f7,true,false,true,3.991887,2.924887,302.924887,300.000000,0.009655,1.067000
i48-f0,true,false,true,3.975213,3.030213,303.030213,300.000000,0.010000,0.945000
i52-f4,true,false,true,3.969485,2.962485,302.962485,300.000000,0.009778,1.007000
i49-f1,true,false,true,3.921716,2.967716,302.967716,300.000000,0.009795,0.954000
i50-f2,true,false,true,3.913739,2.944739,302.944739,300.000000,0.009720,0.969000
i43-f3,true,false,true,3.909233,3.054914,303.055233,300.000319,0.010080,0.854000
i46-f6,true,false,true,3.883027,2.982027,302.982027,300.000000,0.009842,0.901000
i47-f7,true,false,true,3.876270,2.949157,302.957270,300.008113,0.009735,0.919000
i40-f0,true,false,true,3.853771,3.053984,303.063771,300.009787,0.010077,0.790000
i37-f5,true,false,true,3.840709,3.064465,303.109709,300.045244,0.010110,0.731000
i44-f4,true,false,true,3.835485,2.962485,302.962485,300.000000,0.009778,0.873000
i41-f1,true,false,true,3.797105,2.986821,302.989105,300.002284,0.009858,0.808000
i42-f2,true,false,true,3.778739,2.944739,302.944739,300.000000,0.009720,0.834000
i38-f6,true,false,true,3.757752,3.006779,303.008752,300.001973,0.009923,0.749000
i35-f3,true,false,true,3.718681,3.033681,303.033681,300.000000,0.010011,0.685000
i39-f7,true,false,true,3.715270,2.949157,302.951270,300.002113,0.009735,0.764000
i30-f6,true,false,true,3.688809,3.051085,303.091809,300.040724,0.010067,0.597000
i33-f1,true,false,true,3.675473,3.014294,303.018473,300.004179,0.009948,0.657000
i36-f4,true,false,true,3.673485,2.962485,302.962485,300.000000,0.009778,0.711000
i32-f0,true,false,true,3.670213,3.030213,303.030213,300.000000,0.010000,0.640000
i34-f2,true,false,true,3.616739,2.944739,302.944739,300.000000,0.009720,0.672000
i31-f7,true,false,true,3.578270,2.949157,302.958270,300.009113,0.009735,0.620000
i27-f3,true,false,true,3.576681,3.033681,303.033681,300.000000,0.010011,0.543000
i24-f0,true,false,true,3.561499,3.077483,303.080499,300.003016,0.010154,0.481000
i29-f5,true,false,true,3.543372,2.968372,302.968372,300.000000,0.009798,0.575000
i25-f1,true,false,true,3.523473,3.014294,303.022473,300.008179,0.009947,0.501000
i28-f4,true,false,true,3.518485,2.962485,302.962485,300.000000,0.009778,0.556000
i22-f6,true,false,true,3.479497,3.029276,303.042497,300.013221,0.009996,0.437000
i26-f2,true,false,true,3.464739,2.944739,302.944739,300.000000,0.009720,0.520000
i21-f5,true,false,true,3.433637,2.993009,303.013637,300.020628,0.009877,0.420000
i19-f3,true,false,true,3.416681,3.033681,303.033681,300.000000,0.010011,0.383000
i20-f4,true,false,true,3.412109,3.004891,303.015109,300.010218,0.009917,0.397000
i23-f7,true,false,true,3.385887,2.924887,302.924887,300.000000,0.009655,0.461000
i16-f0,true,false,true,3.374771,3.053984,303.060771,300.006787,0.010077,0.314000
i18-f2,true,false,true,3.355069,2.963808,302.986069,300.022261,0.009782,0.369000
i14-f6,true,false,true,3.342497,3.029276,303.061497,300.032221,0.009996,0.281000
i17-f1,true,false,true,3.308716,2.967716,302.967716,300.000000,0.009795,0.341000
i12-f4,true,false,true,3.297009,3.028900,303.061009,300.032109,0.009994,0.236000
i11-f3,true,false,true,3.257681,3.033681,303.033681,300.000000,0.010011,0.224000
i13-f5,true,false,true,3.252637,2.993009,302.999637,300.006628,0.009878,0.253000
i15-f7,true,false,true,3.219887,2.924887,302.924887,300.000000,0.009655,0.295000
i9-f1,true,false,true,3.211473,3.014294,303.035473,300.021179,0.009947,0.176000
i8-f0,true,false,true,3.188213,3.030213,303.030213,300.000000,0.010000,0.158000
i4-f4,true,false,true,3.187206,3.051106,303.099206,300.048100,0.010066,0.088000
i6-f6,true,false,true,3.137752,3.006779,303.018752,300.011973,0.009923,0.119000
i10-f2,true,false,true,3.137739,2.944739,302.944739,300.000000,0.009720,0.193000
i3-f3,true,false,true,3.098681,3.033681,303.033681,300.000000,0.010011,0.065000
i7-f7,true,false,true,3.095270,2.949157,302.957270,300.008113,0.009735,0.138000
