1573562159110,true,130,79643744,21791544,14,62
1573562162071,true,129,65045424,17399276,21,53
1573562164994,true,129,56452312,19021325,18,51
1573562167939,true,129,56452416,15810197,22,54
1573562170906,true,129,52155744,16212461,18,50
1573562173903,true,130,56468680,17558936,19,49
1573562176906,true,130,56468784,16053649,23,54
1573562179855,true,130,56468680,16511189,19,50
1573562182839,true,130,56468680,18854416,18,53
1573562185868,true,130,56468784,16809624,20,59
1573562189018,true,131,56468752,15828415,22,51
1573562192078,true,131,56468752,17205173,19,49
1573562195023,true,131,56468784,17452874,19,51
1573562197918,true,131,56468680,16358348,19,53
1573562200898,true,130,56468680,16824081,0,49
1573562204010,true,131,56468752,17638935,25,53
1573562207110,true,131,56468856,18976464,22,47
1573562210150,true,131,56468680,16606325,20,48
1573562213138,true,131,56468680,16186770,26,52
1573562216183,true,131,56468784,18018068,20,54
1573562219255,true,132,56468752,17881942,19,52
1573562222354,true,132,56460560,20001438,22,53
1573562225410,true,132,56468856,19700308,22,51
1573562228482,true,132,56468752,17464614,27,48
1573562231555,true,132,56468752,17404394,23,48
1573562234599,true,133,56468784,20533771,20,53
1573562237639,true,133,56468680,15924905,19,53
1573562240654,true,133,56468680,16229494,19,50
1573562243695,true,133,56468680,17159269,19,50
1573562246834,true,133,56468856,19480056,20,49
1573562250055,true,134,56468752,20450064,20,54
1573562253170,true,134,56468752,16066037,23,51
1573562256234,true,134,56468856,18831956,23,47
1573562259246,true,134,56468680,18826010,21,52
1573562262434,true,134,56468752,19881387,25,51
1573562265450,true,135,56468784,17311586,23,52
1573562268434,true,135,56468680,16329773,20,50
1573562271439,true,135,56468680,16566385,24,55
1573562274398,true,135,65061800,16333144,13,53
1573562277370,true,135,56468784,15806901,22,49
1573562280332,true,136,56468680,16518365,19,51
1573562283319,true,136,56468680,20397604,18,49
1573562286234,true,136,56468784,17361417,18,52
1573562289094,true,136,56468680,20177622,18,49
1573562292019,true,136,56468680,20284519,19,54
1573562294971,true,137,56468784,18755492,18,51
1573562297870,true,137,56468680,18112150,20,52
1573562300850,true,137,56468680,19648276,17,49
1573562303834,true,136,56468680,15766459,0,65
