servicetime,latency,status
0.17838131,0.381199,200
0.04860173,0.097371,200
0.018008472,0.061762,200
0.015633753,0.062843,200
0.015946789,0.062383,200
0.018093036,0.063359,200
0.015661893,0.062736,200
0.016118567,0.062512,200
0.01865674,0.062918,200
0.016989712,0.061169,200
0.015877133,0.060019,200
0.019783514,0.066044,200
0.01668823,0.061608,200
0.018482326,0.064238,200
0.015891008,0.060046,200
0.022175997,0.068345,200
0.018889524,0.064205,200
0.027368786,0.075965,200
0.023306044,0.070791,200
0.017354036,0.061792,200
0.018056456,0.062281,200
0.016527724,0.063445,200
0.018472552,0.062869,200
0.015928006,0.062573,200
0.02385054,0.070899,200
0.016165942,0.060552,200
0.019422935,0.064738,200
0.017599553,0.064152,200
0.01702638,0.062784,200
0.01903867,0.066386,200
0.01656122,0.062243,200
0.018564984,0.062852,200
0.024901096,0.071301,200
0.016962186,0.062812,200
0.02044734,0.066125,200
0.01829263,0.063015,200
0.017093075,0.063196,200
0.016882315,0.062070,200
0.018246472,0.063571,200
0.017137608,0.063836,200
0.028688597,0.075511,200
0.025847616,0.071869,200
0.028224032,0.071917,200
0.021480331,0.066737,200
0.014795839,0.061418,200
0.019468851,0.066466,200
0.017548097,0.063421,200
0.02067844,0.066941,200
0.017401151,0.062477,200
0.017800547,0.062699,200
0.016120443,0.062757,200
0.022828467,0.071582,200
0.019569376,0.065243,200
0.017718997,0.062763,200
0.019650498,0.064277,200
0.017881557,0.061653,200
0.016979864,0.063126,200
0.017492509,0.063452,200
0.016107306,0.062550,200
0.019134017,0.066146,200
0.017263653,0.064123,200
0.017957153,0.063324,200
0.015759004,0.059323,200
0.019085657,0.066061,200
0.017275373,0.062792,200
0.016230382,0.062588,200
0.016764306,0.062447,200
0.01689712,0.062473,200
0.020749034,0.066475,200
0.020141695,0.067274,200
0.024347937,0.070335,200
0.023793163,0.070632,200
0.024645984,0.069250,200
0.016003894,0.062782,200
0.019378956,0.063436,200
0.020622348,0.067913,200
0.01789406,0.063372,200
0.015885448,0.063739,200
0.019113565,0.064176,200
0.02048644,0.063678,200
0.017144412,0.063044,200
0.01708726,0.061666,200
0.019913139,0.066527,200
0.022030953,0.066877,200
0.017771447,0.063424,200
0.020081978,0.065459,200
0.016283015,0.063214,200
0.016492262,0.061616,200
0.017494677,0.063407,200
0.01549664,0.058617,200
0.01631561,0.063129,200
0.016291356,0.063654,200
0.016849317,0.063949,200
0.015152166,0.060962,200
0.019300861,0.065837,200
0.024398262,0.068143,200
0.016011167,0.062502,200
0.016010541,0.059244,200
0.0207631,0.066490,200
0.021266984,0.065714,200
0.017948788,0.062386,200
0.015908647,0.059125,200
0.016011953,0.062912,200
0.01685746,0.062740,200
0.016299687,0.060040,200
0.015487145,0.058515,200
0.015888913,0.062898,200
0.017074281,0.063287,200
0.0172826,0.062734,200
0.016924893,0.062358,200
0.015109458,0.059540,200
0.014426455,0.059739,200
0.016904145,0.062411,200
0.018248849,0.061616,200
0.021162232,0.067025,200
0.023110088,0.069887,200
0.025371116,0.070718,200
0.01655996,0.061111,200
0.016164301,0.062925,200
0.0161582,0.063074,200
0.016467566,0.061782,200
0.02123116,0.067187,200
0.01662679,0.063649,200
0.018199213,0.067226,200
0.015810192,0.059622,200
0.017478233,0.063431,200
0.017795512,0.063303,200
0.017824965,0.063880,200
0.016385552,0.060465,200
0.015421761,0.059045,200
0.016518014,0.060223,200
0.02128259,0.066943,200
0.014793467,0.059450,200
0.018458808,0.063989,200
0.018802067,0.064198,200
0.019750511,0.066192,200
0.016500551,0.061760,200
0.017115109,0.062220,200
0.017020972,0.063005,200
0.01883965,0.061866,200
0.015163795,0.059851,200
0.015175869,0.059649,200
0.01716493,0.060003,200
0.019239878,0.063661,200
0.019124208,0.067711,200
0.018747851,0.063814,200
0.017601486,0.062289,200
0.01756411,0.063934,200
0.020628968,0.067505,200
0.016982444,0.063954,200
0.019712022,0.063604,200
0.016161937,0.064099,200
0.01686391,0.062954,200
0.026985995,0.071868,200
0.035996597,0.080228,200
0.019637536,0.066210,200
0.016519701,0.064016,200
0.016920865,0.063339,200
0.018544022,0.063560,200
0.01511785,0.060193,200
0.016708326,0.061239,200
0.016357431,0.063491,200
0.0154369,0.059823,200
0.015278823,0.060046,200
0.015966635,0.059487,200
0.017087491,0.063922,200
0.023848036,0.070894,200
0.018227149,0.061624,200
0.016144326,0.062659,200
0.020652931,0.066184,200
0.020088725,0.066950,200
0.014435464,0.059662,200
0.015443222,0.063394,200
0.014787669,0.059688,200
0.014796981,0.059932,200
0.018058272,0.063173,200
0.023832964,0.067028,200
0.016304296,0.060045,200
0.02454919,0.071494,200
0.018244572,0.063422,200
0.021641564,0.065929,200
0.020097082,0.063511,200
0.021028824,0.066492,200
0.016444743,0.063167,200
0.018197272,0.063121,200
0.01738084,0.062973,200
0.017190667,0.063448,200
0.017515015,0.062734,200
0.016375542,0.064636,200
0.022415774,0.066704,200
0.02687292,0.071865,200
0.021154111,0.068084,200
0.0194036,0.064557,200
0.025766632,0.071378,200
0.019152831,0.063981,200
0.02267716,0.066059,200
0.018935949,0.063613,200
0.022804476,0.067548,200
0.015655972,0.061160,200
0.016673809,0.062911,200
0.017995607,0.063081,200
0.01686676,0.062651,200
0.016934814,0.062023,200
0.016222017,0.061467,200
0.019793384,0.062815,200
0.017721986,0.062001,200
0.015102279,0.061745,200
0.014921859,0.059969,200
0.016993534,0.062399,200
0.015184332,0.062606,200
0.02250582,0.066448,200
0.017127048,0.062485,200
0.017946595,0.062967,200
0.016668603,0.063252,200
0.016543997,0.063276,200
0.018843636,0.064543,200
0.01595562,0.063000,200
0.017225368,0.063680,200
0.022241505,0.067015,200
0.019887863,0.066746,200
0.017969072,0.061305,200
0.0205117,0.066514,200
0.018263089,0.062942,200
0.019676685,0.066782,200
0.016586546,0.063588,200
0.018514996,0.063440,200
0.017507205,0.062937,200
0.017119695,0.062419,200
0.018350044,0.063719,200
0.03741152,0.081730,200
0.026408233,0.073132,200
0.019430269,0.066299,200
0.02814213,0.074856,200
0.022314802,0.067284,200
0.016376713,0.062636,200
0.021442715,0.067127,200
0.023885457,0.069779,200
0.017633464,0.062154,200
0.016434403,0.063309,200
0.016149906,0.061056,200
0.017654737,0.064103,200
0.031338267,0.075397,200
0.021598168,0.067728,200
0.016687315,0.063288,200
0.0161965,0.061240,200
0.01930989,0.066449,200
0.020547193,0.066985,200
0.015931107,0.059992,200
0.016744934,0.062973,200
0.019788796,0.065795,200
0.017635375,0.065779,200
0.022553904,0.069529,200
0.01851588,0.062413,200
0.02128214,0.066433,200
0.017957587,0.062643,200
0.026178395,0.070537,200
,0.003175,503
,0.001646,503
,0.001583,503
,0.001317,503
0.016783638,0.020927,200
0.021249756,0.065876,200
0.019468548,0.065376,200
0.0191671,0.065986,200
0.020053849,0.066779,200
0.018434532,0.064310,200
0.017134009,0.063824,200
0.016397793,0.062788,200
0.016677683,0.063368,200
0.01869026,0.066306,200
0.016499156,0.062924,200
0.019742088,0.066502,200
0.014206584,0.058765,200
0.020247033,0.066093,200
0.019673996,0.064950,200
0.016730703,0.062869,200
0.017556189,0.062066,200
0.020230789,0.065764,200
0.016572118,0.061856,200
0.019383028,0.065617,200
0.020327631,0.066605,200
0.016492223,0.061833,200
0.016241582,0.062554,200
0.01703956,0.062651,200
0.015974069,0.062204,200
0.019505044,0.062353,200
0.018869992,0.062574,200
0.01805316,0.062294,200
0.017441977,0.060979,200
0.01700846,0.061953,200
0.020163018,0.066431,200
0.017398397,0.062902,200
0.01942922,0.065964,200
0.015581358,0.060403,200
0.014831003,0.061616,200
0.021568283,0.065514,200
0.019167723,0.063678,200
0.023049306,0.069954,200
