status,latency
200,0.480626
200,0.066710
200,0.062083
200,0.068954
200,0.067973
200,0.068022
200,0.065881
200,0.063881
200,0.072109
200,0.066979
200,0.068421
200,0.079197
200,0.067312
200,0.076274
200,0.064724
200,0.065811
200,0.066989
200,0.063697
200,0.079516
200,0.066403
200,0.063867
200,0.069247
200,0.095702
200,0.073217
200,0.065086
200,0.070687
200,0.065313
200,0.074593
200,0.067902
200,0.071326
200,0.074668
200,0.075820
200,0.066340
200,0.068388
200,0.069009
200,0.070277
200,0.066681
200,0.077542
200,0.067527
200,0.068205
200,0.067283
200,0.064250
200,0.068383
200,0.062584
200,0.072196
200,0.064747
200,0.064196
200,0.067859
200,0.067986
200,0.075841
200,0.083869
200,0.068244
200,0.073758
200,0.064033
200,0.065243
200,0.064482
200,0.071124
200,0.069262
200,0.067771
200,0.064483
200,0.063688
200,0.064644
200,0.065410
200,0.071960
200,0.070783
200,0.065941
200,0.067866
200,0.064571
200,0.061109
200,0.077476
200,0.064482
200,0.069354
200,0.065064
200,0.071687
200,0.067751
200,0.069590
200,0.070218
200,0.075081
200,0.072264
200,0.065467
200,0.065570
200,0.099278
200,0.073827
200,0.083744
200,0.067603
200,0.072958
200,0.063785
200,0.075350
200,0.067591
200,0.069553
200,0.070429
200,0.071074
200,0.067666
200,0.082189
200,0.073290
200,0.072954
200,0.069923
200,0.073789
200,0.068159
200,0.069742
200,0.072634
200,0.068812
200,0.066913
200,0.066024
200,0.073553
200,0.070538
200,0.071990
200,0.074318
200,0.073519
200,0.071662
200,0.064838
200,0.069536
200,0.076599
200,0.074372
200,0.075670
200,0.067116
200,0.066852
200,0.072252
200,0.076667
200,0.069530
200,0.069829
200,0.069354
200,0.074066
200,0.069012
200,0.069652
200,0.072830
200,0.078887
200,0.090022
503,0.009983
503,0.012720
503,0.005246
503,0.009222
503,0.005254
200,0.023967
200,0.067810
200,0.071688
200,0.077141
200,0.065614
200,0.067693
200,0.069424
200,0.071912
200,0.069334
200,0.065501
200,0.066699
200,0.066123
200,0.067856
200,0.077444
200,0.071347
200,0.063827
200,0.061343
200,0.061642
200,0.062243
200,0.067256
200,0.069860
200,0.074078
200,0.076707
200,0.063847
200,0.066451
200,0.064180
200,0.064771
200,0.065130
200,0.064198
200,0.066276
200,0.072148
200,0.070423
200,0.074336
200,0.069898
200,0.068794
200,0.062881
200,0.064112
200,0.065731
200,0.067110
200,0.067323
200,0.068686
200,0.069590
200,0.067435
200,0.068529
200,0.076022
200,0.080282
200,0.076802
200,0.065916
200,0.072214
200,0.064387
200,0.064669
200,0.075960
200,0.069567
200,0.068804
200,0.070031
200,0.065381
200,0.068892
200,0.070638
200,0.068045
200,0.071372
200,0.069077
200,0.068869
200,0.066025
200,0.066640
200,0.065931
200,0.065903
200,0.065677
200,0.067773
200,0.071884
200,0.068643
200,0.065357
200,0.068880
200,0.066223
200,0.063122
200,0.070497
200,0.086909
200,0.067346
200,0.063521
200,0.064765
200,0.064624
200,0.063227
200,0.062746
200,0.068235
200,0.070239
200,0.069686
200,0.068861
200,0.070002
200,0.066588
200,0.068169
200,0.065718
200,0.070459
200,0.071601
200,0.072265
200,0.079923
200,0.072985
200,0.069133
200,0.070304
200,0.072648
200,0.066084
200,0.068736
200,0.068611
200,0.064143
200,0.067052
200,0.066818
200,0.068538
200,0.066413
200,0.076184
200,0.063531
200,0.065804
200,0.087642
200,0.075952
200,0.066233
200,0.069590
200,0.074613
200,0.073647
200,0.071546
200,0.072106
200,0.072233
200,0.079728
200,0.066447
200,0.071193
200,0.071302
200,0.082905
200,0.083002
200,0.088741
200,0.086043
200,0.070473
200,0.083787
503,0.006879
200,0.067838
200,0.064241
200,0.065708
200,0.072871
200,0.066275
200,0.066223
200,0.067788
200,0.068235
200,0.079466
200,0.063682
200,0.062193
200,0.064469
200,0.070764
200,0.065790
200,0.068488
200,0.078726
200,0.064773
200,0.067847
200,0.064279
200,0.064378
200,0.062985
200,0.065697
200,0.066997
200,0.066691
200,0.070627
200,0.071910
200,0.065661
200,0.071897
200,0.065590
200,0.064658
200,0.067455
200,0.068497
200,0.068212
200,0.068903
200,0.067949
200,0.066796
200,0.067957
200,0.069280
200,0.069988
200,0.067999
200,0.066943
200,0.064682
200,0.076832
200,0.070081
200,0.070899
200,0.067755
200,0.072193
200,0.066754
200,0.066310
200,0.063370
200,0.064402
200,0.065334
200,0.065450
200,0.069946
200,0.065909
200,0.067941
200,0.070068
200,0.064847
200,0.067309
200,0.066533
200,0.063306
200,0.066373
200,0.071180
200,0.071319
200,0.067532
200,0.069567
200,0.065284
200,0.069820
200,0.071019
200,0.072935
200,0.069221
200,0.071044
200,0.070899
200,0.068087
200,0.068310
200,0.069432
200,0.064909
200,0.073122
200,0.074069
200,0.065548
200,0.068258
200,0.064747
200,0.064456
200,0.064586
200,0.067635
200,0.064556
200,0.064587
200,0.063491
200,0.065664
200,0.068150
200,0.063561
200,0.069100
200,0.066210
200,0.063798
200,0.061105
200,0.063566
200,0.073040
200,0.068740
200,0.067768
200,0.067612
200,0.063943
200,0.065386
200,0.068332
200,0.068388
200,0.065414
200,0.091628
200,0.080472
200,0.064642
200,0.064310
200,0.069170
200,0.081348
200,0.064708
200,0.064940
200,0.064560
200,0.072617
200,0.065582
200,0.068054
200,0.068255
200,0.067939
200,0.069236
200,0.068712
200,0.068487
200,0.076011
200,0.077591
200,0.074561
200,0.068956
200,0.092718
200,0.069880
503,0.008426
503,0.005145
503,0.005636
503,0.005088
503,0.005263
200,0.023846
200,0.063831
200,0.065128
200,0.064873
200,0.070729
200,0.067202
200,0.067381
200,0.066971
200,0.065120
200,0.069587
200,0.066945
200,0.066415
200,0.076964
200,0.065836
200,0.068343
200,0.065760
200,0.064132
200,0.061680
200,0.065365
200,0.069693
200,0.069371
200,0.064673
200,0.068899
200,0.067576
200,0.070139
200,0.068825
200,0.067837
200,0.066216
200,0.066777
200,0.072911
200,0.066355
200,0.066238
200,0.073311
200,0.079878
200,0.068540
200,0.068272
200,0.062915
200,0.065099
200,0.071868
200,0.067310
200,0.065744
200,0.065855
200,0.073893
200,0.068103
200,0.071193
200,0.064900
200,0.062075
200,0.064226
200,0.063533
200,0.068135
200,0.065074
200,0.066058
200,0.067537
200,0.067327
200,0.066662
200,0.064586
200,0.066362
200,0.064393
200,0.063588
200,0.066122
200,0.066099
200,0.069041
200,0.070006
200,0.067873
200,0.065913
200,0.068066
200,0.068262
200,0.068111
200,0.067993
200,0.068731
200,0.066559
200,0.071492
200,0.068286
200,0.069819
200,0.069875
200,0.065676
200,0.065766
200,0.060099
200,0.060050
200,0.060482
200,0.069966
200,0.061424
200,0.061380
200,0.061910
200,0.064379
200,0.069902
200,0.062321
200,0.069714
200,0.071600
200,0.068014
200,0.066217
200,0.068155
200,0.067329
200,0.071781
200,0.071635
200,0.067402
200,0.062397
200,0.064836
200,0.064559
200,0.069877
200,0.069316
200,0.064497
200,0.065914
200,0.064716
200,0.064018
200,0.064169
200,0.080524
200,0.058479
200,0.061896
200,0.063146
200,0.061159
200,0.063284
200,0.070475
200,0.062732
200,0.060948
200,0.061247
200,0.063881
200,0.062403
200,0.066750
200,0.078296
200,0.069488
200,0.064971
200,0.069688
200,0.064336
200,0.065997
200,0.066119
200,0.073574
200,0.065131
503,0.007610
503,0.005331
503,0.005910
503,0.005148
200,0.020165
200,0.071690
200,0.065625
200,0.065498
200,0.065139
200,0.070871
200,0.063967
200,0.062312
200,0.066260
200,0.076322
200,0.063914
200,0.058386
200,0.061760
200,0.064284
200,0.068801
200,0.074086
200,0.066347
200,0.071288
200,0.067871
200,0.065915
200,0.067653
200,0.065304
200,0.068334
200,0.072449
200,0.078425
200,0.067463
200,0.071872
