status,latency
200,0.415626
200,0.095484
200,0.070566
200,0.067767
200,0.067440
200,0.071744
200,0.064162
200,0.067869
200,0.067347
200,0.071616
200,0.067659
200,0.064642
200,0.066158
200,0.067008
200,0.070205
200,0.067318
200,0.070003
200,0.066155
200,0.067047
200,0.075059
200,0.070831
200,0.081632
200,0.074976
200,0.074476
200,0.072138
200,0.070184
200,0.075562
200,0.083600
200,0.067167
200,0.070859
200,0.067792
200,0.080776
200,0.075489
200,0.069972
200,0.069787
200,0.070821
200,0.067701
200,0.073794
200,0.067083
200,0.071291
200,0.067217
200,0.067848
200,0.076188
200,0.073645
200,0.071475
200,0.068729
200,0.071101
200,0.066623
200,0.068235
200,0.085563
200,0.076039
200,0.083376
200,0.078871
200,0.083323
200,0.063789
200,0.067244
200,0.065970
200,0.075093
200,0.067842
200,0.066395
200,0.068852
200,0.069652
200,0.065467
200,0.070646
200,0.072612
200,0.064554
200,0.070358
200,0.068069
200,0.073505
200,0.068451
200,0.071711
200,0.066677
200,0.066867
200,0.066518
200,0.066551
200,0.070853
200,0.065752
200,0.065467
200,0.070759
200,0.067296
200,0.066421
200,0.071475
200,0.063828
200,0.073783
200,0.063402
200,0.071258
200,0.064601
200,0.074123
200,0.065573
200,0.066724
200,0.062749
200,0.065465
200,0.067296
200,0.064156
200,0.063068
200,0.079012
200,0.066409
200,0.064055
200,0.069687
200,0.063920
200,0.063940
200,0.068026
200,0.066456
200,0.064780
200,0.070868
200,0.067774
200,0.067133
200,0.065266
200,0.065500
200,0.069652
200,0.067223
200,0.063735
200,0.065908
200,0.071695
200,0.071778
200,0.066031
200,0.069556
200,0.072204
200,0.067728
200,0.067365
200,0.076758
200,0.070467
200,0.067436
200,0.074113
200,0.073822
200,0.074864
200,0.071871
200,0.092318
200,0.073117
200,0.068328
200,0.068876
200,0.073542
200,0.066616
200,0.076410
200,0.071060
200,0.072802
200,0.067328
200,0.065940
200,0.064825
200,0.067309
200,0.063923
200,0.069162
200,0.065273
200,0.072102
200,0.065722
200,0.064434
200,0.064925
200,0.064014
200,0.063229
200,0.063571
200,0.067406
200,0.066901
200,0.074734
200,0.067002
200,0.063405
200,0.064719
200,0.064391
200,0.067395
200,0.063594
200,0.074131
200,0.070006
200,0.061850
200,0.065316
200,0.061098
200,0.060871
200,0.061470
200,0.064225
200,0.064203
200,0.063512
200,0.060831
200,0.065861
200,0.063644
200,0.064071
200,0.064723
200,0.066122
200,0.070450
200,0.063676
200,0.081511
200,0.070808
200,0.063137
200,0.060532
200,0.062057
200,0.067934
200,0.067870
200,0.063409
200,0.064399
200,0.066579
200,0.066083
200,0.069500
200,0.070286
200,0.073403
200,0.071745
200,0.070869
200,0.068976
200,0.064863
200,0.068975
200,0.067297
200,0.069944
200,0.064221
200,0.067182
200,0.063493
200,0.069519
200,0.068949
200,0.069086
200,0.074540
200,0.068437
200,0.063566
200,0.073780
200,0.082856
200,0.064672
200,0.066229
200,0.062913
200,0.064432
200,0.063854
200,0.066461
200,0.063080
200,0.063932
200,0.062758
200,0.071532
200,0.072226
200,0.067364
200,0.066896
200,0.067160
200,0.066955
200,0.074032
200,0.065813
200,0.063878
200,0.065766
200,0.066430
200,0.067319
200,0.063107
200,0.062700
200,0.066133
200,0.066962
200,0.068250
200,0.061905
200,0.065510
200,0.071338
200,0.062989
200,0.068290
200,0.082659
200,0.071778
200,0.086082
200,0.068346
200,0.069819
200,0.067693
200,0.073186
200,0.071478
200,0.063130
200,0.063817
200,0.070473
200,0.076672
200,0.074153
200,0.083664
200,0.068704
200,0.092047
200,0.066597
200,0.067970
200,0.068073
200,0.065616
200,0.063700
200,0.071246
200,0.064730
200,0.064140
200,0.071137
200,0.067011
200,0.068032
200,0.071927
200,0.063859
200,0.063875
200,0.074779
200,0.062334
200,0.063242
200,0.066763
200,0.064688
200,0.064952
200,0.063474
200,0.070824
200,0.067663
200,0.065827
200,0.068653
200,0.069735
200,0.064987
200,0.072792
200,0.075589
200,0.066411
200,0.070047
200,0.068946
200,0.067568
200,0.067197
200,0.068016
200,0.069126
200,0.068357
200,0.066661
200,0.067452
200,0.065729
200,0.064092
200,0.062222
200,0.076109
200,0.062865
200,0.071695
200,0.069831
200,0.070572
200,0.067359
200,0.065925
200,0.065344
200,0.067179
200,0.069293
200,0.064615
200,0.066740
200,0.070899
200,0.064763
200,0.071163
200,0.072135
200,0.067822
200,0.067894
200,0.071191
200,0.067274
200,0.074243
200,0.067324
200,0.068080
200,0.062927
200,0.070406
200,0.063960
200,0.068849
200,0.067224
200,0.067803
200,0.079656
200,0.071639
200,0.065246
200,0.072155
200,0.066311
200,0.070626
200,0.066082
200,0.073659
200,0.069920
200,0.063520
200,0.062243
200,0.059918
200,0.062524
200,0.064912
200,0.071025
200,0.066090
200,0.077814
200,0.067155
200,0.069950
200,0.071721
200,0.063540
200,0.071370
200,0.068270
200,0.067473
200,0.066296
200,0.067247
200,0.065586
200,0.067059
200,0.068214
200,0.071933
200,0.069942
200,0.063795
200,0.067055
200,0.067461
200,0.066396
200,0.067386
200,0.103470
200,0.066443
200,0.074588
200,0.081922
200,0.063904
200,0.065598
200,0.063248
200,0.074505
200,0.063551
200,0.070930
200,0.067771
200,0.068314
200,0.071732
200,0.064064
200,0.066104
200,0.064538
200,0.069848
200,0.073876
200,0.074326
200,0.086883
200,0.075045
200,0.071816
200,0.068337
200,0.069821
200,0.073823
200,0.066584
200,0.066765
200,0.071862
200,0.067861
200,0.070959
200,0.064054
200,0.064263
200,0.069873
200,0.071492
200,0.079028
200,0.063607
200,0.063091
200,0.062236
200,0.065565
200,0.062934
200,0.062922
200,0.064298
200,0.061078
200,0.061052
200,0.062656
200,0.064308
200,0.062653
200,0.063815
200,0.062907
200,0.061590
200,0.062673
200,0.061313
200,0.070443
200,0.075464
200,0.063400
200,0.061606
200,0.067053
200,0.065165
200,0.066547
200,0.068117
200,0.069184
200,0.067883
200,0.066357
200,0.065823
200,0.070940
200,0.074139
200,0.076464
200,0.068117
200,0.064153
200,0.067318
200,0.063926
200,0.065577
200,0.065879
200,0.067923
200,0.070101
200,0.067961
200,0.067566
200,0.066410
200,0.065940
200,0.065967
200,0.068785
200,0.069788
200,0.065148
200,0.064315
200,0.064298
200,0.064709
200,0.066316
200,0.063854
200,0.062886
200,0.067685
200,0.072738
200,0.065699
200,0.069066
200,0.063303
200,0.063344
200,0.069335
200,0.060783
200,0.060909
200,0.066537
200,0.071421
200,0.066067
200,0.062399
200,0.062799
200,0.062718
200,0.060141
200,0.062191
200,0.076352
200,0.067174
200,0.064010
200,0.070825
200,0.069089
200,0.070962
200,0.066563
200,0.061993
200,0.064877
200,0.064827
200,0.064431
200,0.063867
200,0.065567
200,0.065971
200,0.064888
200,0.065580
200,0.067482
200,0.069835
200,0.069992
200,0.069069
200,0.063319
200,0.068424
200,0.066822
200,0.073816
200,0.067607
200,0.079696
200,0.065867
200,0.063753
200,0.061885
200,0.063720
200,0.061686
200,0.078840
200,0.074379
200,0.079332
200,0.073678
200,0.070295
200,0.070535
200,0.071195
200,0.067132
200,0.070555
200,0.075167
200,0.071252
200,0.091902
200,0.063932
200,0.068436
200,0.070284
200,0.067704
200,0.071502
200,0.066709
200,0.069540
200,0.067383
200,0.066602
200,0.068427
200,0.067171
200,0.064641
200,0.072858
200,0.065334
200,0.064915
200,0.060095
200,0.066754
200,0.059448
200,0.072082
200,0.066148
200,0.062338
200,0.067432
200,0.079111
200,0.063561
200,0.062749
200,0.064794
200,0.064334
200,0.062308
200,0.064865
200,0.068594
200,0.066673
200,0.070201
200,0.067964
200,0.086820
200,0.066532
200,0.066364
200,0.063343
200,0.066391
200,0.068238
200,0.071810
200,0.071367
200,0.063326
200,0.067903
200,0.074327
200,0.064653
200,0.074831
200,0.066973
200,0.066134
200,0.064619
200,0.065752
200,0.067216
200,0.066693
200,0.062691
200,0.068671
200,0.064206
200,0.068383
200,0.067821
200,0.067519
200,0.064616
200,0.068069
200,0.064678
200,0.067319
200,0.064843
200,0.066336
200,0.065779
200,0.067505
200,0.064774
200,0.066027
200,0.066322
200,0.063267
200,0.067809
200,0.070769
200,0.071824
200,0.059614
200,0.068685
200,0.068506
200,0.070471
200,0.064592
200,0.066581
200,0.067601
200,0.063169
200,0.065482
200,0.067733
200,0.068189
200,0.067612
200,0.088709
200,0.067776
200,0.070071
200,0.067533
200,0.069023
200,0.066254
200,0.070510
200,0.067347
200,0.066869
200,0.072723
200,0.071333
200,0.072760
200,0.071335
200,0.064067
200,0.070019
200,0.066016
200,0.063511
200,0.066739
200,0.071402
200,0.065861
200,0.063486
200,0.067126
200,0.068536
200,0.065815
200,0.064500
200,0.060992
200,0.059816
200,0.060749
200,0.061872
200,0.079096
200,0.066254
200,0.063041
200,0.067148
200,0.062670
200,0.065256
200,0.061592
200,0.065175
200,0.060063
200,0.063566
200,0.066155
200,0.069314
200,0.074745
200,0.075909
200,0.067750
200,0.065772
200,0.065531
200,0.064514
200,0.064363
200,0.064793
200,0.064608
200,0.064534
200,0.064052
200,0.075103
200,0.066361
200,0.064954
200,0.061510
200,0.061571
200,0.066174
200,0.061423
200,0.063072
200,0.060197
200,0.071848
200,0.070419
200,0.064659
200,0.062176
200,0.065739
200,0.067325
200,0.065606
200,0.068182
200,0.066345
200,0.067919
200,0.069454
200,0.069421
200,0.063320
200,0.084175
200,0.064435
200,0.066357
200,0.063195
200,0.066264
200,0.064104
200,0.063505
200,0.064860
200,0.067800
200,0.064857
200,0.067354
200,0.065972
200,0.066435
200,0.069836
200,0.063287
200,0.059307
200,0.060231
200,0.059949
200,0.066720
200,0.068562
200,0.070378
200,0.066986
200,0.061627
200,0.071129
200,0.062940
200,0.065278
200,0.061688
200,0.064078
200,0.067005
200,0.067216
200,0.064808
200,0.067064
200,0.063494
200,0.063936
200,0.063840
200,0.064550
200,0.067749
200,0.063054
200,0.062484
200,0.071863
200,0.061668
200,0.058209
200,0.061372
200,0.060036
200,0.061703
200,0.075991
200,0.064159
200,0.059816
200,0.062496
200,0.059997
200,0.063299
200,0.065705
200,0.068639
200,0.062495
200,0.062357
200,0.063981
200,0.067263
200,0.066335
200,0.071321
200,0.071636
200,0.070331
200,0.069451
200,0.063107
200,0.060764
200,0.061942
200,0.061646
200,0.062558
200,0.060846
200,0.066273
200,0.063822
200,0.063963
200,0.070941
200,0.064405
200,0.064781
200,0.066639
200,0.065774
200,0.064929
200,0.068407
200,0.063845
200,0.063100
200,0.064126
200,0.073853
200,0.063750
200,0.062534
200,0.068874
200,0.064354
200,0.066408
200,0.065548
200,0.066312
200,0.066904
200,0.066357
200,0.067180
200,0.063392
200,0.064362
200,0.072030
200,0.065273
200,0.078062
200,0.067298
200,0.077239
200,0.072893
200,0.067906
200,0.067674
200,0.063198
200,0.065955
200,0.068760
200,0.066400
200,0.073654
200,0.067235
200,0.070915
200,0.074142
200,0.067431
200,0.070597
200,0.066900
200,0.064869
200,0.067110
200,0.063527
200,0.071145
200,0.071717
200,0.069902
200,0.066587
200,0.072305
200,0.070657
200,0.079025
200,0.070647
200,0.072316
200,0.068073
200,0.069037
200,0.063935
200,0.063538
200,0.065361
200,0.064600
200,0.066569
200,0.066901
