servicetime,latency,status
0.17409593,0.414149,200
0.030923374,0.044583,200
0.015268158,0.022280,200
0.017625226,0.024473,200
0.01632744,0.022614,200
0.015694847,0.022037,200
0.01942694,0.025110,200
0.014762826,0.020715,200
0.016621053,0.022589,200
0.01443973,0.019966,200
0.017161656,0.023154,200
0.018121319,0.023936,200
0.017516136,0.024558,200
0.01603509,0.022139,200
0.015380087,0.020934,200
0.01373611,0.019973,200
0.017597439,0.024075,200
0.025585975,0.035477,200
0.032320462,0.040458,200
0.025613964,0.036343,200
0.026269266,0.033384,200
0.015015788,0.021958,200
0.01583971,0.037631,200
0.016611421,0.022546,200
0.014941673,0.020875,200
0.014372379,0.020631,200
0.013848691,0.021104,200
0.014336364,0.019947,200
0.016181871,0.024097,200
0.0199839,0.028485,200
0.017190509,0.023483,200
0.016628051,0.034441,200
0.019141398,0.027164,200
0.014131097,0.019717,200
0.014185071,0.029269,200
0.013875477,0.021116,200
0.017190857,0.024479,200
0.017401664,0.023032,200
0.016193695,0.028310,200
0.020332916,0.029892,200
0.031950492,0.038222,200
0.022950234,0.034374,200
0.015283629,0.023622,200
0.017549628,0.022950,200
0.018071335,0.023685,200
0.017469527,0.023148,200
0.01864172,0.024506,200
0.014241554,0.019914,200
0.0147474,0.020311,200
0.01714226,0.023378,200
0.018946327,0.025985,200
0.014532653,0.021011,200
0.018530063,0.024636,200
0.016677318,0.025976,200
0.017601391,0.026130,200
0.019766262,0.025408,200
0.020083178,0.025640,200
0.019792605,0.028530,200
0.019179832,0.025169,200
0.01715002,0.023663,200
0.020437503,0.033775,200
0.0206731,0.026996,200
0.01799654,0.024290,200
0.022183595,0.032836,200
0.01447182,0.020700,200
0.019745383,0.025468,200
0.019231545,0.027301,200
0.018823672,0.025399,200
0.02422993,0.030253,200
0.015271992,0.021147,200
0.017214658,0.022816,200
0.01581397,0.021731,200
0.014199417,0.020205,200
0.015038917,0.020431,200
0.015937775,0.021627,200
0.015178952,0.020531,200
0.017749976,0.023095,200
0.01817302,0.023699,200
0.017950231,0.023445,200
0.03053302,0.037376,200
0.023520265,0.029618,200
0.017041424,0.024490,200
0.015253369,0.020678,200
0.022492714,0.037014,200
0.019148948,0.028542,200
0.015598311,0.025160,200
0.018778311,0.024229,200
0.015683584,0.020779,200
0.014209429,0.019333,200
0.018561559,0.023912,200
0.014640134,0.019854,200
0.019432588,0.025376,200
0.013846964,0.019881,200
0.015336774,0.020598,200
0.023998499,0.029881,200
0.01738052,0.026948,200
0.014308348,0.019608,200
0.019935107,0.025190,200
0.013510383,0.018783,200
0.020194873,0.025853,200
0.015760303,0.021495,200
0.022595389,0.028306,200
0.018979054,0.024570,200
0.017565645,0.023852,200
0.018331496,0.023969,200
0.018328436,0.023831,200
0.019132916,0.024395,200
0.013715403,0.018849,200
0.013687749,0.019355,200
0.018530887,0.023744,200
0.014088163,0.019643,200
0.018094994,0.023315,200
0.013151428,0.020304,200
0.019183993,0.024529,200
0.018691162,0.025633,200
0.01844898,0.024148,200
0.019902349,0.025122,200
0.014890662,0.020518,200
0.01410095,0.020515,200
0.015444667,0.025675,200
0.014587285,0.019845,200
0.025803752,0.031488,200
0.019824002,0.025999,200
0.016182417,0.024905,200
0.019735638,0.025966,200
0.020879945,0.029209,200
0.016953884,0.028379,200
0.017611932,0.051373,200
0.014479591,0.019893,200
0.013544613,0.019711,200
0.014026772,0.019873,200
0.019413937,0.025683,200
0.023801278,0.029201,200
0.023470543,0.028925,200
0.014395745,0.019647,200
0.013692351,0.018857,200
0.013240004,0.018453,200
0.017694764,0.023396,200
0.017092071,0.022216,200
0.020525493,0.025798,200
0.01534481,0.020522,200
0.013996183,0.019013,200
0.019551927,0.024744,200
0.02270985,0.029011,200
0.018170731,0.023791,200
0.013792336,0.018952,200
0.033015925,0.038597,200
0.025555233,0.030808,200
0.021008953,0.026425,200
0.015789034,0.021106,200
0.013482106,0.018630,200
0.013701201,0.021714,200
0.015297565,0.021421,200
0.025913874,0.032505,200
0.019612491,0.025051,200
0.017151956,0.032998,200
0.01778197,0.024016,200
0.014460319,0.019597,200
0.022667663,0.027837,200
0.015656983,0.021414,200
0.021178624,0.026424,200
0.018384703,0.025694,200
0.016688032,0.023133,200
0.022555836,0.028864,200
0.018224316,0.023520,200
0.020676306,0.026484,200
0.015497489,0.021418,200
0.01592,0.021268,200
0.021091325,0.026750,200
0.017941598,0.023269,200
0.01805502,0.023291,200
0.03394271,0.039671,200
0.027797325,0.033924,200
0.018890716,0.024245,200
0.017231997,0.022648,200
0.028760813,0.035949,200
0.01687298,0.022332,200
0.016166395,0.023456,200
0.0206572,0.026336,200
0.019890627,0.025226,200
0.017349647,0.024078,200
0.01845424,0.025467,200
0.021266818,0.026607,200
0.024678163,0.029927,200
0.02204495,0.028025,200
0.018087327,0.023244,200
0.016013408,0.021336,200
0.015062765,0.020328,200
0.01491939,0.031921,200
0.014394361,0.019873,200
0.02950686,0.037069,200
0.018833725,0.027414,200
0.019524004,0.025693,200
0.01975886,0.025080,200
0.020553328,0.025963,200
0.023976514,0.029319,200
0.020154469,0.025431,200
0.026058083,0.032060,200
0.014919764,0.020110,200
0.024363318,0.029891,200
0.020563621,0.025912,200
0.016695002,0.022480,200
0.017224971,0.022892,200
0.01815558,0.023608,200
0.015813215,0.032930,200
0.019803008,0.025095,200
0.015043353,0.020247,200
0.014271289,0.019648,200
0.015153317,0.020449,200
0.014661314,0.019866,200
0.02491622,0.030140,200
0.024241023,0.029576,200
0.01740132,0.022803,200
0.023743203,0.029106,200
0.016355256,0.022385,200
0.016484166,0.021749,200
0.019266507,0.024676,200
0.019399928,0.024530,200
0.027056636,0.034740,200
0.018081153,0.025548,200
0.026173536,0.031375,200
0.014481589,0.019541,200
0.014980505,0.022138,200
0.014828745,0.020062,200
0.014796844,0.019969,200
0.014304929,0.019655,200
0.01453203,0.019683,200
0.016021954,0.022113,200
0.019808808,0.025157,200
0.01914739,0.024603,200
0.016063679,0.025985,200
0.019695116,0.025038,200
0.016876006,0.022154,200
0.017956449,0.024148,200
0.015693527,0.020898,200
0.017225688,0.022972,200
0.018505728,0.027496,200
0.019770201,0.025082,200
0.025732148,0.032025,200
0.0204242,0.025679,200
0.023466926,0.028715,200
0.017897632,0.023227,200
0.014912595,0.034711,200
0.021222224,0.026628,200
0.01390035,0.019813,200
0.014022131,0.019435,200
0.018770415,0.025218,200
0.016236741,0.024583,200
0.019390065,0.024681,200
0.015323363,0.034923,200
0.018255748,0.029378,200
0.026250985,0.059081,200
0.019650292,0.026720,200
0.016385388,0.031693,200
0.020053288,0.030013,200
0.014255636,0.034641,200
0.018887464,0.024907,200
0.019545292,0.024767,200
0.01619146,0.021287,200
