servicetime,status,latency
0.21474455,0.505401,200
0.028830849,0.078216,200
0.015005574,0.063431,200
0.016887652,0.065862,200
0.014255492,0.066549,200
0.016013058,0.068796,200
0.01440677,0.065965,200
0.020625653,0.075545,200
0.019328833,0.068779,200
0.021321775,0.073687,200
0.024004886,0.077950,200
0.02218994,0.072897,200
0.018364808,0.068268,200
0.023609076,0.088245,200
0.0241176,0.072161,200
0.021381384,0.072660,200
0.025940564,0.079100,200
0.017626991,0.068707,200
0.022401376,0.071147,200
0.020364428,0.072173,200
0.01744269,0.066919,200
0.022650564,0.073316,200
0.018517705,0.083860,200
0.019499188,0.070136,200
0.018463897,0.066022,200
0.01811224,0.065983,200
0.015788276,0.072189,200
0.017273236,0.064917,200
0.016537577,0.067785,200
0.015718104,0.066562,200
0.015630934,0.070308,200
0.016302787,0.074069,200
0.015896924,0.066682,200
0.015395428,0.065738,200
0.014426514,0.066131,200
0.01595972,0.068884,200
0.015419844,0.068058,200
0.014281209,0.072144,200
0.015444532,0.066038,200
0.014538852,0.064556,200
0.013860703,0.065318,200
0.014334877,0.064236,200
0.016422518,0.071203,200
0.020278623,0.071746,200
0.014005966,0.064444,200
0.014264901,0.066492,200
0.022552611,0.076850,200
0.016039623,0.062608,200
0.01542499,0.062881,200
0.016598634,0.065313,200
0.014534248,0.064834,200
0.019137304,0.073339,200
0.013736797,0.065207,200
0.014876853,0.062160,200
0.015030083,0.062637,200
0.017422993,0.065710,200
0.016015543,0.065979,200
0.01879505,0.070994,200
0.016169772,0.066307,200
0.016336193,0.067917,200
0.016749876,0.065997,200
0.015476953,0.064312,200
0.017415885,0.070241,200
0.021577215,0.075168,200
0.021065587,0.073328,200
0.019050509,0.068640,200
0.0191693,0.068805,200
0.019667016,0.069121,200
0.017743837,0.065205,200
0.019069036,0.080840,200
0.022432156,0.073323,200
0.025165554,0.074165,200
0.027476208,0.079436,200
0.019027157,0.073970,200
0.022671623,0.070781,200
0.021586552,0.073010,200
0.020246793,0.074397,200
0.018050183,0.068720,200
0.017497772,0.066306,200
0.017698327,0.064589,200
0.016517123,0.067069,200
0.02160532,0.073924,200
0.017335856,0.068616,200
0.019381385,0.069462,200
0.019734403,0.067620,200
0.019661328,0.077528,200
0.018712265,0.065947,200
0.020975476,0.072259,200
0.024719002,0.075920,200
0.020370685,0.069261,200
0.017491909,0.068656,200
0.020757372,0.070848,200
0.022800025,0.070779,200
0.0207567,0.073770,200
0.019238437,0.071101,200
0.022813965,0.073169,200
0.022145016,0.075915,200
0.020755393,0.069502,200
0.018687487,0.068107,200
0.023191812,0.071424,200
0.022682896,0.071534,200
0.017404888,0.067789,200
0.021937797,0.070742,200
0.022570908,0.070723,200
0.021879563,0.078667,200
0.017404744,0.064489,200
0.016445154,0.063389,200
0.019106232,0.067988,200
0.018955639,0.067057,200
0.023466175,0.070228,200
0.017308973,0.071286,200
0.0196412,0.070231,200
0.020678336,0.072432,200
0.016310913,0.082726,200
0.021779876,0.072038,200
0.021430226,0.069693,200
0.022359785,0.072786,200
0.021505993,0.069737,200
0.018712653,0.066219,200
0.021852352,0.070654,200
0.0302264,0.080040,200
0.022064513,0.070447,200
0.021294745,0.071060,200
0.017883886,0.086557,200
0.021728516,0.075630,200
0.021668237,0.072149,200
0.019436829,0.078294,200
0.021764556,0.089898,200
,0.006768,503
,0.006079,503
,0.005260,503
,0.005289,503
0.020568255,0.026731,200
0.019888181,0.068262,200
0.019241715,0.066885,200
